Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ihe_coti_3420_R1										45.96339413853966	33.400168049293406	8.904165255379821	1.6447665930380364	3.4889260414415353	0.31093406125920087	1.0906174503207555
ihe_crag_CTMZ03573_R1										34.789830593159344	38.604621063155825	15.365018401777853	1.401244680018633	3.27139584799683	0.314762573433858	1.7558806792826078
ihe_eldo_CTMZ03592_R1										44.23326316095355	31.600776535898145	9.566650996265789	1.1723396506685666	2.709459629940717	0.17674956462599875	1.4366235644180483
ihe_eldo_CTMZ03593_R1										38.000383620230984	35.22034008251911	12.53214014571821	1.1967141916646227	2.944659886174965	0.16107605355007812	1.43808722036321
ihe_embu_CTMZ03569_R1										58.91173479795923	22.115933128926358	5.421516501079336	1.2901712145562167	2.361368178001045	1.4274510265848848	0.0
ihe_grao_MTR33250_R1										27.72448936341393	39.554410557291334	19.059035237645862	1.405774624470264	2.8714505279034923	0.9218635685888859	1.2126072620239814
ihe_grao_MTR33256_R1										28.077357110526602	39.17326899931349	18.884669786740798	1.3477268244240324	3.2222357207260792	0.7163280522131722	1.2759378062992754
ihe_grao_MTR33257_R1										25.463996464320225	39.81641844449184	21.664211668334985	1.2992153718060089	3.189534520877962	0.5878892767913807	1.480684638596714
ihe_grao_MTR33258_R1										46.15902454821425	30.380365142897332	8.85395923313575	1.3368217137432803	2.8434034384401246	0.6931611297163618	0.9755444752424196
ihe_igua_3574_R1										51.05645450040408	28.341600512592997	6.670241163968551	1.2443376794612195	2.470368700071021	1.3345633552289233	0.0
ihe_ipor_CTMZ11223_R1										58.16942074764644	21.685202208953317	5.066831776366533	1.1831309202223395	1.9570784451330276	1.3703191698085304	0.0
ihe_jacu_3588_R1										33.323120254203026	37.93398861095954	15.784104133768665	1.242566153015851	3.1214036275942814	0.29113530545556077	1.3275951604471201
ihe_jacu_3593_R1										47.587739301265295	29.79254239013614	8.033418775414084	1.1516007833983484	2.8099045045700266	0.9527675398031353	0.37209568087630573
ihe_jacu_3594_R1										40.1142315594407	34.103641156525704	11.516844064352956	1.3583503219733535	2.9215235255909695	0.42778991683924	1.0685303803202235
ihe_jara_MTR21218_R1										37.66163201995896	34.56638903015081	13.279953187323152	1.2507194409283002	2.9432461099878293	0.6125194019564906	1.2261529313323007
ihe_juqi_CX87_15_R1										54.96701547630124	23.79982965829687	6.220162714669349	1.218351039229639	2.310075584383106	1.2049716360819678	0.0
ihe_juqi_H0160_R1										35.30871840247147	34.7274365266863	15.115825636134	1.3105169494510476	3.2868579068205013	0.34664328877461353	1.3999917730869482
ihe_juqi_H0189_R1										42.04832104321262	32.57162172121122	10.729920163558873	1.228518935003243	3.0570219978669217	0.45742451433963227	1.089415116372953
ihe_juqi_H0199_R1										20.80665407413139	38.55928967184296	28.98572409768434	1.4242033721972527	2.9191511672363992	0.9208484150104357	1.5204982758185068
ihe_mira_CTMZ03575_R1										34.99490015972409	36.04935134528638	14.128285890083156	1.316736658491556	3.292302383755674	0.3049570496728043	1.7331665931169422
ihe_parn_MTR14053_R1										21.72229854317543	40.135797594305494	26.344803042775816	1.4182951763433023	3.4109224420043853	0.7141927915868362	1.807952749331649
ihe_parn_MTR14054_R1										41.93832172084614	32.76881751257154	10.315433786130523	1.7156171522191417	2.8459430529824994	0.17490467987482683	1.6403283318002357
ihe_parn_MTR14059_R1										44.96678128134676	30.977466381778683	9.466107947074907	1.3931270262504571	2.9388978813143596	0.0	1.7809953429734602
ihe_peru_LG929_R1										27.787985724865226	36.907324159375605	22.114551564354386	1.2829190917089475	3.0853365336060827	0.7756812233413519	1.373975854283569
ihe_pied_LG2250_R1										42.34454693027194	32.09210638579647	10.75887552072759	1.3306177630605318	2.793655149952987	0.6633305329988558	1.0766107844047337
ihe_pila_LG1383_R1										29.507368660529988	37.75930065004338	19.5981844347925	1.276181360090403	3.4587086860349183	0.29701572475762533	1.545951484110658
ihe_prai_UFRGST2987_R1										25.32787862416676	36.77343108881716	24.949816905983322	1.355778425445348	3.446219041893934	0.4958147486106839	1.7476423763198332
ihe_prai_UFRGST2988_R1										30.11706734014636	38.42520801305666	16.999769539277764	1.434061610548933	3.4226506146337035	0.5619178183954471	1.274762353109902
ihe_ribe_CTMZ10467_R1										33.18454298044337	39.144283485909504	16.390499134415414	1.3764732500317325	3.4773395328364245	0.170233436654351	1.5788059397773637
ihe_sale_A1D1_R1										31.751627412416077	39.302163072721754	16.76223899809273	1.2920805771208141	3.683498895397297	1.0022951485521798	1.748895910487774
ihe_sale_A1_R1										36.07350139320209	36.83305218559987	14.758855408686259	1.2855928263865037	3.5334487491532443	0.5744763650434457	1.6749101989158406
ihe_sale_D2_R1										39.56059719404303	35.376166898877074	13.074186193887149	1.47375339658759	2.987988256287279	0.33462200242202966	1.9117012829032145
ihe_saop_CTMZ13588_R1										41.883648556992796	34.46491891870966	11.799537002380804	1.1426142669303592	3.041414441157566	0.1395516855528866	1.4249031435081405
ihe_sber_ITH0155_R1										23.941558370953313	39.76837360887352	24.96866812184291	1.3643288177069386	3.3144608228682855	0.6535114932742865	1.8217425971493155
ihe_sete_3117_R1										50.980847884424264	27.418095786214558	7.335188809400189	1.3256397952229888	2.5516021885225584	1.3640635763215738	0.0
ihe_stan_MTR10414_R1										49.24764940472895	30.810848144543577	8.589229365094592	1.4655983016373064	2.8124640447485403	0.5486275403469351	0.8506897615096731
per_alto_MTR10788_R1										19.054801112079588	39.6530919900892	31.81366904016418	1.0053776653981636	2.9990953299785645	0.5387665656183181	0.8722007709139971
per_alto_MTR10846_R1										43.676908983503836	35.399996090564386	11.312406991289755	0.9614851753115768	2.643584874107875	0.1661143035233331	0.7948469551991695
per_bana_CTMZ03176_R1										36.71095937610113	38.950435473321036	14.875101240931984	1.2776067403227822	2.5376941863503295	0.3302359855001172	0.8713272545071253
per_bana_CTMZ03177_R1										30.754973854084426	40.3623146219858	18.87901280594468	1.2012424504468324	2.9634587319950465	0.3227445064435204	1.0055121886297596
per_bana_CTMZ03179_R1										25.37855856288811	40.665404563130984	24.21991480336696	1.157236224776391	2.9248222938500006	0.41702852944337615	0.8422118049444278
per_bana_CTMZ03943_R1										43.49876480137955	23.809758196397855	23.671344664968817	0.262569875071392	0.09691493126423066	0.0	0.0
per_buri_H0309_R1										70.15367759862069	10.78863693288757	3.8034076479058045	1.5750727487538387	2.4503007889208983	0.6872091896781074	0.0
per_buri_H0310_R1										25.861841694840148	42.2401831150864	22.517062933661023	1.0726603092570852	3.2522169973070025	0.37617754771523193	0.8896254313785555
per_buri_H0318_R1										25.06494789527916	42.51838653161688	23.137063931443407	1.1167593124018722	3.0626116607590506	0.5061828779573402	0.8803486165899042
per_cris_CTMZ03587_R1										32.833632134721654	40.944615084198475	16.861762331855687	1.166632617353288	2.7530410443104696	0.5166372579813376	0.6955454456907112
per_cunh_3317_R1										21.355366488519202	41.5936071339796	27.342951760382046	1.1123382374255935	3.0761019148791946	0.48743307868936037	0.9588555102798904
per_divi_MTR15785_R1										51.54474494636484	30.157190970828264	7.50873798214992	1.3101153885567076	2.14790301142195	0.7709901104065571	0.0
per_ibit_MTR26245_R1										44.835233154952	34.62365075567442	10.222801127242985	1.4023851300293073	2.9607165840068483	0.0	0.7545236698616963
per_iper_MTR15554_R1										26.615912221450817	42.491573987703376	21.565168609939615	1.1567696955799007	3.2311431964327926	0.3742340641524426	0.7509411424392918
per_iper_MTR15555_R1										32.68539943183926	39.59184154876251	17.919218618713618	1.1769171219480898	3.0276887529738947	0.32981853425223756	0.7500808601878184
per_itam_MTR23721_R1										25.394349885813522	41.664796942951284	23.039991029712244	1.0224642119877088	3.2297688148838364	0.5882715793148707	1.1162295044667976
per_itam_MTR23815_R1										46.248056766194225	33.49151772455181	9.199249386435746	1.403759803537616	2.5637416273191675	0.5484634286340492	0.8823622472002989
per_itam_MTR23818_R1										31.21796348432589	41.30319461987575	17.6596145512148	1.0339235952219719	3.3142348573798457	0.3559572659635907	1.2275076567101484
per_itat_MTR26247_R1										36.52721685892275	38.36595369259181	15.597909604650686	1.0707563146965815	2.7546335110563516	0.1739095571332912	0.8291927837320053
per_itat_MTR26248_R1										33.095026908746725	39.71390001675023	17.793820538163892	1.2066749512610566	2.8356238269164606	0.32868394356013864	0.7984903881118595
per_mair_CTMZ11192_R1										48.832632790884844	32.71581343905171	8.56969585585046	1.2214354732350732	2.245167542970349	0.8267020699340353	0.0
per_mair_CTMZ11193_R1										43.69480523336509	36.14876822983019	10.648804031753986	1.0678413410592094	2.484774199097185	0.846059954675971	0.0
per_nova_MTR17782_R1										44.55385495653022	34.694523060495754	10.974525650015309	0.779776566042653	2.4367941306048833	0.5309214555333901	0.38053903025081276
per_nova_MTR21282_R1										48.76044061457864	32.71507452751837	8.504029972687134	1.035982895188657	1.9836773985287282	0.49602621640071376	0.6714850092886295
per_nova_MTR39299_R1										32.348176851722535	40.07090819517475	17.90423385963566	0.9433800535731315	2.8329263890013237	0.15255175510561636	1.0058514364563824
per_orti_IIH129_R1										27.50311225961159	39.14196449886272	22.542131197424677	1.0906776014580808	3.334609497296471	0.3797565319186944	0.8651179462286265
per_parn_MTR14060_R1										42.35955059889319	37.09755775402986	10.57126660722879	1.1762927913837378	2.625543777087094	0.38200783278464145	0.7921467303938997
per_parn_MTR14061_R1										45.51620515625071	34.45237929573886	9.771958311407715	1.2247413260350857	2.588778673447786	0.18431952619527492	0.8077275047142344
per_petr_MTR22695_R1										52.854109369832095	28.306990664650673	7.5646301888730365	1.4489814772559542	1.9730390097817407	0.9888846773683244	0.0
per_petr_MTR22755_concat_R1										48.41872678502088	30.85467914866784	7.9741529907904605	1.146214979759515	2.126721966006022	0.7628281770340178	0.0
per_petr_MTR22756_R1										51.931096387890186	29.621268307705286	8.07228049794755	1.1975762676701012	1.8790570602785817	0.9174512421565372	0.0
per_petr_MTR22757_R1										53.10180603813118	28.700717208550774	7.345142938897135	1.2757798828973448	1.8926974988709162	1.0063922578603668	0.0
per_pinh_IIH001_R1										10.693704859011785	36.33331006898391	42.95244026816524	1.4639596137514106	3.244953914947972	0.5730779685022284	1.1736284567668969
per_pira_LG1135_R1										43.42876340585284	34.504273015263855	11.30818296541155	1.3500710302859997	2.6610683665449053	0.19593023250966288	0.7343482591513806
per_roci_MTR11764_R1										36.53505016502503	38.533720182934346	15.260300177191855	0.9070750105726604	2.3869176641800705	0.6712497913061386	0.6093136565468129
per_roci_MTR22692_R1										41.0280096750069	36.74226998273683	12.749244175259783	1.0353733666588678	2.3980757833579407	0.6881206832175744	0.3299513308311921
per_sber_UF5032_R1										43.367960382283236	28.871210891424326	15.016215636444288	1.1922747514183427	2.7109393291188675	0.3711080830490096	0.8906492187241645
per_stbr_CX50_32_R1										51.55452814243095	24.89877281083435	10.350618936853163	1.2779775594399276	2.44615710527235	0.2467138145636926	1.0405517943656917
per_wbra_IIH177_R1										36.324830995319005	39.21183286079414	14.650510030376173	1.282206235818972	2.9590250780145824	0.3579267617613409	0.9184948596697616
per_wbra_IIH178_R1										44.74283507273139	31.92300247123836	11.710792759810253	1.217189644215643	2.8577366002822733	0.24845333767526157	1.0338394524835681
per_wbra_IIH196_R1										17.071984046166158	40.583251705747074	32.486294574081604	1.228483055195796	3.4172783829781737	0.49248635985460304	1.1219854969231855
